seq,rank,name,industry,headquarters,country,ceo,founded,employees,revenue($M),profits($M),assets($M),mkt_value($M),forbes_webpage
464,464,China Evergrande Group,Construction,Shenzhen,China,Hai Jun Xia,2006,"123,276","70,400","2,450","367,960","2,780",china-evergrande-group
465,465,Bridgestone,Automotive (Automotive and Suppliers),Tokyo,Japan,Shuichi Ishibashi,1931,"135,636","29,540","1,470","39,730","25,700",bridgestone
466,466,Emirates NBD,Banking,Dubai,United Arab Emirates,Shayne Kieth Nelson,1963,"9,825","8,600","2,490","188,950","26,140",emirates-nbd
467,467,Daiwa House Industry,Construction,Osaka,Japan,Keiichi Yoshii,1947,"48,807","38,860","1,890","47,860","15,820",daiwa-house-industry
468,468,JD.com,Retailing,Beijing,China,Lei Xu,1998,"298,717","147,630",-560,"77,900","68,560",jd
469,468,Kinder Morgan,"Construction, Oil & Gas Operations, Mining and Chemicals","Houston, Texas",United States,Steven J. Kean,1997,"11,000","16,610","1,030","69,140","43,420",kinder-morgan
470,470,China National Building,Construction,Beijing,China,Zhi Ping Song,2005,"153,109","42,580","2,510","72,570","10,550",china-national-building
471,471,Fifth Third Bank,Banking,"Cincinnati, Ohio",United States,Greg D. Carmichael,1858,"19,112","8,270","2,560","211,120","26,350",fifth-third-bank
472,472,FirstRand,Diversified Financials,Johannesburg,South Africa,Alan Patrick Pullinger,1966,"47,771","10,180","2,180","124,820","24,980",firstrand
473,473,Carrefour,Retail and Wholesale,Massy,France,Alexandre Bompard,1959,"321,000","87,810","1,270","54,210","15,770",carrefour
474,474,Fujitsu,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",Tokyo,Japan,Takahito Tokita,1935,"124,200","32,830","1,930","27,060","29,140",fujitsu
475,475,SEB AB,Banking,Stockholm,Sweden,Johan Torgeby,1972,"15,500","7,550","2,960","364,950","24,720",seb-ab
476,476,Surgutneftegas,Oil & Gas Operations,Surgut,Russia,Vladimir Leonidovich Bogdanov,1990,"116,000","19,260","6,130","83,540","10,480",surgutneftegas
477,477,New China Life Insurance,Insurance,Beijing,China,Quan Li,1996,"34,434","34,440","2,310","176,360","8,910",new-china-life-insurance
478,478,Barrick Gold,Materials,Toronto,Canada,Dennis Mark Bristow,1983,"21,869","11,940","2,020","46,890","42,240",barrick-gold
479,479,DSV Panalpina,Transportation,Hedehusene,Denmark,Jens Bjørn Andersen,1976,"77,958","28,970","1,780","24,680","38,650",dsv-panalpina
480,480,Talanx,Insurance,Hannover,Germany,Torsten Leue,1990,"23,954","51,730","1,200","218,260","11,010",talanx
481,481,Vodafone,"Telecommunications Services, Cable Supplier",Berkshire,United Kingdom,Nicholas Jonathan Read,1984,"104,000","53,630",-291,"178,590","46,360",vodafone
482,482,Nintendo,"IT, Internet, Software & Services",Kyoto,Japan,Shuntaro Furukawa,1889,"6,574","15,240","4,290","21,770","58,010",nintendo
483,483,Hana Financial Group,Banking,Seoul,South Korea,Ham Young-Joo,2005,"21,997","13,750","3,010","422,670","11,470",hana-financial
484,484,Hyundai Mobis,Capital Goods,Seoul,South Korea,Eui-Sun Chung,1977,"10,835","36,420","2,050","43,310","15,650",hyundai-mobis
485,485,NTPC,Utilities,New Delhi,India,Gurdeep Singh,1975,"119,383","17,000","2,170","55,000","20,320",ntpc
486,486,Maybank,Banking and Financial Services,Kuala Lumpur,Malaysia,Khairussaleh Ramli,1960,"46,000","9,170","1,950","213,190","24,740",maybank
487,487,CME Group,Diversified Financials,"Chicago, Illinois",United States,Terrence A. Duffy,1898,"3,480","4,690","2,620","196,960","80,120",cme-group
488,488,TAQA,Utilities,Abu Dhabi,United Arab Emirates,Jasim Husain Ahmed Thabet,2005,na,"12,440","1,620","49,060","42,240",taqa
489,489,Pernod Ricard,"Food, Soft Beverages, Alcohol & Tobacco",Paris,France,Alexandre Ricard,1975,"18,500","11,580","2,040","38,740","54,160",pernod-ricard
490,490,Bank Mandiri,Banking,Jakarta,Indonesia,Darmawan Junaidi,1824,"37,840","9,530","1,960","121,090","26,880",bank-mandiri
491,491,Femsa,"Food, Drink & Tobacco",Monterrey,Mexico,Daniel Alberto Rodríguez Cofré,1890,"320,752","27,380","1,400","36,040","27,290",femsa
492,492,Paccar,Automotive (Automotive and Suppliers),"Bellevue, Washington",United States,Preston Feight,1972,"10,545","23,540","1,850","29,300","29,790",paccar
493,493,Consolidated Edison,Utilities,"New York, New York",United States,Timothy P. Cawley,1823,"13,871","13,670","1,350","63,120","34,180",consolidated-edison
494,494,Mitsui Fudosan,Construction,Tokyo,Japan,"Hiromichi Iwasa, Masanobu Komoda",1941,"23,992","18,260","1,400","71,090","20,040",mitsui-fudosan
495,495,Evergreen Marine Corp. (Taiwan),Transportation,Taipei,Taiwan,Huey Chuan Hsieh,na,na,"17,520","8,560","22,090","26,680",evergreen-marine-corp-taiwan
496,496,Komatsu,"Engineering, Manufacturing",Tokyo,Japan,Hiroyuki Ogawa,1921,"61,564","24,510","1,780","34,970","22,060",komatsu
497,497,Shaanxi Coal Industry,Materials,Xi'an,China,Shi Bin Wang,2008,"36,344","22,280","2,710","26,600","24,760",shaanxi-coal-industry
498,498,Lenovo Group,Technology Hardware & Equipment,Quarry Bay,Hong Kong,Yuan Qing Yang,1984,"71,500","70,560","1,880","45,650","11,890",lenovo-group
499,499,Fast Retailing,Retailing,Yamaguchi,Japan,Tadashi Yanai,1963,"55,589","19,270","1,890","22,930","51,270",fast-retailing
500,500,London Stock Exchange,Diversified Financials,London,United Kingdom,David Adam Schwimmer,1802,"23,261","9,270",838,"1,066,100","52,660",london-stock-exchange
501,501,Vonovia,Construction,Bochum,Germany,Rolf Buch,1998,"15,871","6,550","3,120","120,910","32,710",vonovia
502,502,Aviva,Insurance,London,United Kingdom,Amanda Blanc,2003,"8,687","45,130",572,"465,180","21,030",aviva
503,503,Sherwin-Williams,Household & Personal Products,"Cleveland, Ohio",United States,John G. Morikis,1866,"48,068","19,950","1,860","20,670","64,220",sherwin-williams
504,504,Fujifilm Holdings,Consumer Durables,Tokyo,Japan,Teiichi Goto,1934,"73,275","22,570","1,930","32,360","22,930",fujifilm-holdings
505,505,Intuit,"IT, Internet, Software & Services","Mountain View, California",United States,Sasan Goordazi,1983,"17,300","11,410","2,170","26,300","125,370",intuit
506,506,Lam Research,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","Fremont, California",United States,Tim Archer,1980,"16,300","16,720","4,540","16,590","64,610",lam-research
507,507,Erste Group Bank,Banking and Financial Services,Vienna,Austria,Bernhard Spalt,2008,"44,773","11,430","2,100","350,460","13,970",erste-group-bank
508,508,Lincoln National,Insurance,"Radnor, Pennsylvania",United States,Dennis R. Glass,1968,"10,848","19,180","1,410","371,280","11,200",lincoln-national
509,509,Carrier Global,Capital Goods,"Palm Beach Gardens, Florida",United States,David L. Gitlin,1915,"58,000","20,610","1,660","26,170","35,550",carrier-global
510,510,DISH Network,Media,"Englewood, Colorado",United States,W. Erik Carlson,1980,"14,500","17,880","2,410","48,470","16,200",dish-network
511,511,China Coal Energy,Materials,Beijing,China,Yan Jiang Li,2006,"44,356","35,860","2,280","50,420","11,140",china-coal-energy
512,512,Continental,Automotive (Automotive and Suppliers),Hanover,Germany,Nikolai Setzer,1871,"193,000","39,910","1,720","42,460","14,140",continental
513,513,VTB Bank,Banking,Moscow,Russia,Andrey Leonidovich Kostin,1990,na,"21,300","4,220","278,100","3,150",vtb-bank
514,514,Murata Manufacturing,Technology Hardware & Equipment,Nagaokakyo,Japan,Tsuneo Murata,1944,"75,184","16,280","2,830","23,070","38,940",murata-manufacturing
515,515,Larsen & Toubro,Construction,Mumbai,India,Sekharipuram Narayan Subrahmanyan,1938,"360,826","20,530","1,120","40,820","31,130",larsen-toubro
516,516,Ally Financial,Banking and Financial Services,"Detroit, Michigan",United States,Jeffrey J. Brown,1919,"11,000","10,840","2,920","184,300","13,790",ally-financial
517,517,NetEase,IT Software & Services,Hangzhou,China,Lei Ding,1997,"32,064","13,590","2,620","24,110","52,530",netease
518,518,Bank Central Asia,Banking,Jakarta,Indonesia,Jahja Setiaatmadja,1955,"25,370","6,100","2,260","87,690","67,620",bank-central-asia
519,519,Volvo Car,Consumer Durables,Gothenburg,Sweden,James Rowan,2010,na,"32,850","1,460","31,350","21,500",volvo-car
520,520,Intact Financial,Insurance,Toronto,Canada,Charles Brindamour,1809,"26,000","14,630","1,650","48,080","24,880",intact-financial
521,521,Orsted,Oil & Gas Operations,Fredericia,Denmark,Mads Nipper,1972,"6,836","10,990","1,620","41,340","49,110",orsted
522,522,Cummins,"Engineering, Manufacturing","Columbus, Indiana",United States,Tom Linebarger,1919,"58,000","24,020","2,130","23,710","28,300",cummins
523,523,Williams,"Construction, Oil & Gas Operations, Mining and Chemicals","Tulsa, Oklahoma",United States,Alan S. Armstrong,1908,"4,783","10,570","1,520","49,760","42,730",williams
524,524,Capgemini,IT Software & Services,Paris,France,Aiman Ezzat,1967,"324,684","21,460","1,370","27,330","35,590",capgemini
525,525,Prologis,Real Estate,"Denver, Colorado",United States,na,1993,na,"4,830","3,720","59,780","126,340",prologis
526,526,Thales,Aerospace & Defense,Paris,France,Patrice Caine,1949,"81,000","19,140","1,290","37,350","28,560",thales
527,527,Bouygues,Construction,Paris,France,Olivier Roussat,1952,"124,651","44,430","1,330","50,770","13,130",bouygues
528,528,Banorte,Banking,San Pedro Garza García,Mexico,Jose Marcos Ramírez Miguel,1899,"21,878","10,610","1,730","90,850","21,040",banorte
529,529,CK Asset Holdings,Construction,Hong Kong,Hong Kong,Tzar Kuoi Li,2015,"54,000","8,320","2,730","71,410","25,130",ck-asset-holdings
530,529,Orange,Telecommunications Services,Paris,France,Christel Heydemann,1988,"132,002","50,260",275,"126,590","31,810",orange
531,531,Kuehne & Nagel International,Transportation,Schindellegi,Switzerland,Detlef A. Trefzger,1890,"78,087","35,880","2,220","16,080","34,840",kuehne-nagel-international
532,532,Bunge,"Food, Drink & Tobacco","St. Louis, Missouri",United States,Gregory A. Heckman,1818,"22,000","59,150","2,080","23,820","16,830",bunge
533,533,Samsung Life Insurance,Insurance,Seoul,South Korea,Young-Muk Jeon,1957,"5,250","25,440","1,280","287,060","9,590",samsung-life-insurance
534,533,VMware,IT Software & Services,"Palo Alto, California",United States,Rangarajan Govind Raghuram,1998,"37,500","12,850","1,820","28,680","45,550",vmware
535,535,Albertsons,Food Markets,"Boise, Idaho",United States,Vivek Sankaran,1939,"300,000","71,890","1,620","28,120","15,570",albertsons
536,536,CRRC,Capital Goods,Beijing,China,Yong Cai Sun,2007,"160,656","34,800","1,600","67,030","10,500",crrc
537,537,CBRE Group,Business Services & Supplies,"Dallas, Texas",United States,Bob Sulentic ,1906,"105,000","27,750","1,840","22,070","27,960",cbre-group
538,537,Toshiba,Conglomerate,Tokyo,Japan,Taro Shimada,1875,"125,648","30,130","1,690","30,760","18,190",toshiba
539,539,Samsung C&T,Trading Companies,Seoul,South Korea,"Keum-Yong Chung, Jung-Suk Koh",1963,"8,819","30,090","1,430","46,470","14,640",samsung-ct
540,540,Infosys,IT Software & Services,Bangalore,India,Salil S. Parekh,1981,"335,000","16,330","2,970","15,560","87,210",infosys
541,541,Prudential,Banking and Financial Services,"Hong Kong, London",United Kingdom,Mark Thomas FitzPatrick,1848,"14,486","26,520","-1,980","189,350","36,700",prudential
542,542,Yankuang Energy Group,Materials,Zoucheng,China,Yao Meng Xiao,1997,"63,869","16,860","2,630","47,380","14,320",yankuang-energy-group
543,543,Canadian Pacific Railway,Transportation,Calgary,Canada,Keith Edward Creel,1881,"11,834","6,380","2,270","54,110","69,420",canadian-pacific-railway
544,544,Loews,Insurance,"New York, New York",United States,James S. Tisch,1954,"10,340","14,670","1,580","76,160","15,940",loews
545,545,Tokyo Electron,Semiconductors,Tokyo,Japan,Toshiki Kawai,1963,"14,479","17,090","3,600","14,970","67,250",tokyo-electron
546,546,LG Electronics,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",Seoul,South Korea,Joo-wan Cho,1958,"36,499","66,120",900,"44,990","17,870",lg-electronics
547,547,CSL,Drugs & Biotechnology,Parkville,Australia,Paul Roger Perreault,1916,"25,000","10,590","2,360","23,440","94,670",csl
548,547,Magna International,Automotive (Automotive and Suppliers),"Aurora, Ontario",Canada,Seetarama Kotagiri,1957,"159,000","36,250","1,510","29,090","18,140",magna-international
549,549,Analog Devices,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","Wilmington, Massachusetts",United States,Vincent T. Roche,1965,"24,700","8,440","1,280","51,220","81,250",analog-devices
550,550,Kubota,Capital Goods,Osaka,Japan,Masatoshi Kimata,1890,"43,293","19,990","1,600","32,770","21,190",kubota
551,551,Air Products & Chemicals,Chemicals,"Allentown, Pennsylvania",United States,Seifi Ghasemi,1940,"20,875","10,940","2,120","27,130","53,860",air-products-chemicals
552,551,Newmont Mining,Materials,"Denver, Colorado",United States,Thomas R. Palmer,1921,"31,000","12,250","1,050","39,910","59,060",newmont-mining
553,551,TE Connectivity,Technology Hardware & Equipment,Schaffhausen,Switzerland,Terrence R. Curtin,2007,"89,000","15,220","2,450","21,410","40,010",te-connectivity
554,554,Aon,na,London,United Kingdom,Gregory C. Case,1982,"50,000","12,190","1,250","31,920","68,810",aon
555,555,TELUS,"Telecommunications Services, Cable Supplier",Vancouver,Canada,Darren Entwistle,1990,"90,800","13,430","1,320","37,990","36,050",telus
556,556,Dollar Tree,Retail and Wholesale,"Chesapeake, Virginia",United States,Michael Witynski,1986,"210,600","26,320","1,330","21,720","37,700",dollar-tree
557,557,KeyCorp,Banking,"Cleveland, Ohio",United States,Christopher M. Gorman,1958,"18,180","7,450","2,450","181,220","19,060",keycorp
558,558,WTW,na,London,United Kingdom,Carl Hess,2016,"44,200","9,580","4,220","34,970","26,880",wtw
559,559,China Zheshang Bank,Banking,Hangzhou,China,Ren Kang Shen,1993,"17,288","15,990","1,960","358,900","9,000",china-zheshang-bank
560,559,Wesfarmers,Food Markets,Perth,Australia,Robert Scott,1914,"114,000","25,350","1,650","18,340","40,570",wesfarmers
561,561,Suzuki Motor,Consumer Durables,Hamamatsu,Japan,Osamu Suzuki,1909,"68,739","32,560","1,540","34,680","15,390",suzuki-motor
562,562,Best Buy,Retail and Wholesale,"Richfield, Minnesota",United States,Corie Barry,1966,"105,000","51,760","2,450","17,500","20,560",best-buy
563,562,SVB Financial Group,Banking,"Santa Clara, California",United States,Gregory W. Becker,1983,"6,567","6,080","1,810","220,350","31,820",svb-financial-group
564,564,Advanced Micro Devices,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","Santa Clara, California",United States,Dr. Lisa Su,1969,"15,500","16,430","3,160","12,420","142,800",advanced-micro-devices
565,565,Markel,Banking and Financial Services,"Glen Allen, Virginia",United States,Richard R. Whitt III Thomas S. Gayner,1930,"20,300","12,840","2,470","39,360","19,890",markel
566,566,Muyuan Foodstuff,"Food, Drink & Tobacco",Nanyang,China,Ying Lin Qin,2000,"121,995","11,270","2,330","26,180","44,120",muyuan-foodstuff
567,567,Kimberly-Clark,Packaged Goods,"Irving, Texas",United States,Michael D. Hsu,1872,"45,000","19,790","1,750","18,670","46,670",kimberly-clark
568,568,Swedbank,Banking,Sundbyberg,Sweden,Jens Olof Henriksson,1991,"17,700","6,750","2,430","303,810","18,560",swedbank
569,569,Cognizant,na,"Teaneck, New Jersey",United States,Ravi Kumar S,1994,"349,400","18,510","2,140","17,850","43,620",cognizant
570,570,Corning,"Engineering, Manufacturing","Corning, New York",United States,Wendell P. Weeks,1851,"61,200","14,070","1,910","30,150","28,580",corning
571,571,Infineon Technologies,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",Neubiberg,Germany,Jochen Hanebeck,1999,"50,280","13,700","1,620","27,290","39,150",infineon-technologies
572,572,Citizens Financial Group,Banking,"Providence, Rhode Island",United States,Bruce Winfield van,1828,"17,463","6,880","2,130","192,100","20,760",citizens-financial-group
573,573,Devon Energy,"Construction, Oil & Gas Operations, Mining and Chemicals","Oklahoma City, Oklahoma",United States,Rick Muncrief,1971,"1,600","13,690","2,780","21,020","38,570",devon-energy
574,574,Asahi Group Holdings,"Food, Drink & Tobacco",Tokyo,Japan,Atsushi Katsuki,1949,"30,020","20,350","1,400","39,490","17,940",asahi-group-holdings
575,575,JSW Steel,Materials,Mumbai,India,Sharad Mahendra,1994,"35,585","17,100","2,930","23,010","22,870",jsw-steel
576,575,Lumen Technologies,"Telecommunications Services, Cable Supplier","Monroe, Louisiana",United States,Jeffrey K. Storey,1968,"36,000","19,690","2,030","57,990","11,160",lumen-technologies
577,577,Regions Financial,Banking,"Birmingham, Alabama",United States,"John M. Turner, Jr.",1971,"19,626","6,630","2,520","162,940","20,030",regions-financial
578,578,Svenska Handelsbanken,Banking and Financial Services,Stockholm,Sweden,Carina Åkerström,1871,"10,791","6,340","2,270","369,650","19,520",svenska-handelsbanken
579,579,Raymond James Financial,Banking and Financial Services,"St. Petersburg, Florida",United States,Paul C. Reilly,1962,"20,021","10,430","1,530","68,460","21,490",raymond-james-financial
580,580,BYD,Consumer Durables,Shenzhen,China,Chuan Fu Wang,1995,"288,200","32,780",469,"46,550","84,460",byd
581,581,Illinois Tool Works,Capital Goods,"Glenview, Illinois",United States,Ernest Scott Santi,1912,"45,000","14,460","2,690","16,080","63,420",illinois-tool-works
582,582,Pinduoduo,Retailing,Shanghai,China,Lei Chen,na,na,"14,570","1,210","28,430","43,530",pinduoduo
583,583,Activision Blizzard,Consumer Durables,"Santa Monica, California",United States,Robert A. Kotick,2008,"9,800","8,800","2,700","25,060","61,390",activision-blizzard
584,584,Liberty Global,Media,London,United Kingdom,Michael Thomas Fries,2005,"11,200","10,540","13,430","46,920","12,590",liberty-global
585,585,Colgate-Palmolive,Packaged Goods,"New York, New York",United States,na,1806,"4,732","17,420","2,170","15,040","68,170",colgate-palmolive
586,585,SSE,Utilities,Perth,United Kingdom,Alistair Phillips-Davies,1989,"12,512","10,330","3,520","31,560","24,880",sse
587,587,Nan Ya Plastics,Chemicals,Kaohsiung City,Taiwan,Ming Tsou,1958,na,"14,740","2,910","24,170","23,750",nan-ya-plastics
588,587,Vivendi,Telecommunications Services,Paris,France,Arnaud Roy de Puyfontaine,1853,"33,200","11,310","29,190","37,950","12,950",vivendi
589,589,Baxter International,Health Care Equipment & Services,"Deerfield, Illinois",United States,José E. Almeida,1931,"19,000","12,780","1,280","33,520","36,770",baxter-international
590,590,Fosun International,Insurance,Shanghai,China,Chen Qiyu Xu Xiaoliang,1992,"96,000","25,020","1,570","126,520","8,480",fosun-international
591,591,Weichai Power,Capital Goods,Weifang,China,Xu Guang Tan,2002,"42,953","31,400","1,430","43,470","12,040",weichai-power
592,592,Fidelity National Financial,Banking and Financial Services,"Jacksonville, Florida",United States,Mike Nolan,1847,"23,710","15,630","2,420","58,130","11,580",fidelity-national-financial
593,592,Parker-Hannifin,"Engineering, Manufacturing","Cleveland, Ohio",United States,Thomas L. Williams,1918,"55,090","15,290","1,820","22,390","35,600",parker-hannifin
594,594,Vedanta Limited,Materials,Mumbai,India,Sunil Duggal,1976,"70,089","16,380","2,630","25,300","20,210",vedanta-limited
595,595,Woori Financial Group,Diversified Financials,Seoul,South Korea,Tae-Seung Son,2001,"26,000","11,470","2,200","376,180","9,510",woori-financial-group
596,596,Sysco,"Food, Soft Beverages, Alcohol & Tobacco","Houston, Texas",United States,Kevin Hourican,1969,"49,000","60,740",785,"21,430","45,060",sysco
597,597,Telstra,Telecommunications Services,Melbourne,Australia,Andrew Richard Penn,1975,"27,015","15,820","1,090","31,160","34,210",telstra
598,598,Credit Suisse Group,Banking,Zurich,Switzerland,Thomas Gottstein PhD,1856,"50,110","30,070","-1,800","829,540","18,680",credit-suisse-group
599,598,Rogers Communications,"Telecommunications Services, Cable Supplier",Toronto,Canada,Tony Staffieri,1960,"23,000","11,790","1,270","44,070","29,240",rogers-communications
600,600,M&T Bank,Banking,"Buffalo, New York",United States,René F. Jones,1856,"17,454","5,890","1,770","149,860","31,030",mt-bank
601,601,Boston Scientific,Health Care Equipment & Services,"Marlborough, Massachusetts",United States,Michael F. Mahoney,1979,"20,000","11,890","1,040","32,230","62,630",boston-scientific
602,602,Edison International,Utilities,"Rosemead, California",United States,Pedro J. Pizarro,1886,"13,003","14,900",781,"74,750","27,270",edison-international
603,602,Financiere de l'Odet,Transportation,Paris,France,Vincent Marie Claude Bolloré,1929,na,"23,370","3,860","69,030","5,070",financiere-de-lodet
604,602,Sumitomo Mitsui Trust,Banking,Tokyo,Japan,Tetsuo Ohkubo,2002,"22,139","10,670","1,430","553,780","11,810",sumitomo-mitsui-trust
605,605,Entergy,Utilities,"New Orleans, Louisiana",United States,Leo Denault,1913,"12,500","11,710","1,120","59,450","25,100",entergy
606,605,Swisscom,Telecommunications Services,Worblaufen,Switzerland,Urs Schaeppi,1998,"18,905","12,230","2,000","27,220","30,250",swisscom
607,607,EnBW-Energie Baden,Utilities,Karlsruhe,Germany,Frank Mastiaux,1997,"26,064","38,000",429,"98,410","25,800",enbw-energie-baden
608,608,Hikvision,Technology Hardware & Equipment,Hangzhou,China,Yang Zhong Hu,2001,"52,752","12,990","2,640","16,460","59,330",hikvision
609,609,Nippon Yusen,Transportation,Tokyo,Japan,", Yuichi Tsuji",1885,"35,057","19,460","7,090","23,650","12,820",nippon-yusen
610,610,Stanley Black & Decker,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","New Britain, Connecticut",United States,"Donald Allan, Jr.",1843,"26,381","16,830","1,690","28,180","21,350",stanley-black-decker
611,611,Oneok,Oil & Gas Operations,"Tulsa, Oklahoma",United States,Pierce H. Norton II,1906,"2,847","17,270","1,500","23,620","30,940",oneok
612,612,Marriott International,Travel & Leisure,"Bethesda, Maryland",United States,Anthony Capuano,1927,"97,000","13,860","1,100","25,550","58,740",marriott-international
613,613,Warner Bros. Discovery,Media & Advertising,"New York, New York",United States,David Zaslav,2022,"11,000","12,180","1,020","34,430","49,910",warner-bros-discovery
614,614,S.F. Holding,Business Services & Supplies,Shenzhen,China,Wei Wang,1993,"177,129","32,050",661,"32,930","36,660",sf-holding
615,615,Delta Air Lines,Airlines,"Atlanta, Georgia",United States,Ed Bastian,1924,"81,000","35,100",516,"73,750","28,010",delta-air-lines
616,616,Bharat Petroleum,Oil & Gas Operations,Mumbai,India,Arun Kumar Singh,1928,"32,701","43,200","2,590","25,180","11,160",bharat-petroleum
617,617,Halliburton,Oil & Gas Operations,"Houston, Texas",United States,Jeff Miller,1919,"40,000","16,130","1,550","22,070","33,940",halliburton
618,618,Metallurgical Corp of China,Construction,Beijing,China,Bongani Nqwababa,2008,"97,972","77,300","1,300","85,270","5,150",metallurgical-corp-of-china
619,619,Northern Trust,Banking,"Chicago, Illinois",United States,Michael G. O'Grady,1889,"21,100","6,570","1,530","183,890","22,080",northern-trust
620,620,HeidelbergCement,Construction,Heidelberg,Germany,Ralph Dominik von,1874,"51,209","22,130","2,080","39,310","10,910",heidelbergcement
621,621,China Steel,Materials,Kaohsiung City,Taiwan,Hsi Chin Wang,1971,"28,648","16,770","2,220","24,870","19,810",china-steel
622,621,Eversource Energy,Utilities,"Hartford, Connecticut",United States,James J. Judge,1996,"9,227","9,860","1,220","48,490","31,720",eversource-energy
623,623,Sany Heavy Industry,Capital Goods,Beijing,China,Hongfu Yu,1994,"24,586","17,590","2,390","21,140","21,930",sany-heavy-industry
624,624,Hermès International,Retail and Wholesale,Paris,France,Axel Dumas Emile Hermès,1837,"17,595","10,620","2,890","15,750","138,970",hermes-international
625,625,International Paper,"Engineering, Manufacturing","Memphis, Tennessee",United States,Mark S. Sutton,1898,"31,000","21,780","1,760","25,240","17,890",international-paper
626,626,Koç Holding,Oil & Gas Operations,Istanbul,Turkey,Levent Çakiroglu,1963,"105,908","38,840","1,700","76,850","6,790",koc-holding
627,627,Nidec,Capital Goods,Kyoto,Japan,Shigenobu Nagamori,1973,"114,371","17,070","1,210","22,160","40,470",nidec
628,628,Meituan,IT Software & Services,Beijing,China,Xing Wang,2010,"100,033","27,790","-3,650","37,760","111,430",meituan
629,629,Kotak Mahindra Bank,Diversified Financials,Mumbai,India,Uday Kotak,1985,"73,000","7,920","1,460","41,570","44,830",kotak-mahindra-bank
630,630,Teck Resources,Materials,Vancouver,Canada,Donald R. Lindsay,1906,"10,600","10,750","2,290","37,500","19,970",teck-resources
631,631,Southwest Airlines,Airlines,"Dallas, Texas",United States,Robert E. Jordan,1967,"64,000","15,790",978,"38,170","27,770",southwest-airlines
632,632,Deutsche Boerse,Diversified Financials,Eschborn,Germany,Theodor Weimer,1990,"10,200","5,260","1,430","253,750","32,230",deutsche-boerse
633,633,Labcorp,Health Care Equipment & Services,"Burlington, North Carolina",United States,Adam Schechter,1995,"75,500","16,120","2,380","20,390","25,020",labcorp
634,634,China Tower Corp.,Telecommunications Services,Beijing,China,Xiao Min Gu,2014,"23,300","13,430","1,140","50,210","20,280",china-tower
635,635,Inpex,Oil & Gas Operations,Tokyo,Japan,Naoki Kuroda,2006,"3,189","11,320","2,030","44,790","17,110",inpex
636,636,Coca-Cola European Partners,"Food, Soft Beverages, Alcohol & Tobacco",Uxbridge,United Kingdom,Damian Paul Gammell,2016,"33,200","16,240","1,150","33,080","23,430",coca-cola-european-partners
637,637,Wuliangye Yibin,"Food, Drink & Tobacco",Yibin,China,Tao Zou,1998,"25,882","8,480","3,490","18,300","98,980",wuliangye-yibin
638,638,Shimao Property Holdings,Construction,Hong Kong,Hong Kong,Wing Mau Hui,2004,"24,334","21,820","2,060","96,970","2,140",shimao-property-holdings
639,639,Idemitsu Kosan,Oil & Gas Operations,Tokyo,Japan,Takashi Tsukioka,1911,"14,044","54,540","2,210","38,990","7,970",idemitsu-kosan
640,640,Formosa Petrochemical,Oil & Gas Operations,Taipei,Taiwan,Ming Tsao,1992,na,"22,200","1,770","16,580","29,960",formosa-petrochemical
641,641,Crown Castle International,Diversified Financials,"Houston, Texas",United States,Jay A. Brown,1994,"5,000","6,600","1,460","39,070","84,070",crown-castle-international
642,642,FirstEnergy,Utilities,"Akron, Ohio",United States,John W. Somerhalder,1997,"12,000","11,410","1,190","44,620","26,270",firstenergy
643,643,Rongsheng Petrochemical,Household & Personal Products,Hangzhou,China,Jiong Jiong Xiang,1995,"13,962","27,220",656,"52,180","21,520",rongsheng-petrochemical
644,644,Hindalco Industries,Materials,Mumbai,India,Satish P. Pai,1958,"23,555","24,330","1,600","27,450","15,110",hindalco-industries
645,645,Bank Of Hangzhou,Banking,Hangzhou,China,Zhen Shan Chen,1996,"10,456","8,700","1,440","218,420","13,960",bank-of-hangzhou
646,645,Renault,Consumer Durables,Boulogne-Billancourt,France,Makoto Uchida,1898,"156,466","54,620","1,050","129,340","7,280",renault
647,647,International Holding Company,"Food, Drink & Tobacco",Abu Dhabi,United Arab Emirates,Basar Shueb,1998,na,"7,750","2,000","24,230","108,600",international-holding-company
648,648,Cincinnati Financial,Insurance,"Fairfield, Ohio",United States,Steven J. Johnston,1950,"5,166","9,630","2,950","31,020","21,930",cincinnati-financial
649,649,Mitsubishi Estate,Construction,Tokyo,Japan,Hirotaka Sugiyama,1937,"9,982","12,140","1,220","55,320","19,040",mitsubishi-estate
650,650,Cleveland-Cliffs,"Construction, Oil & Gas Operations, Mining and Chemicals","Cleveland, Ohio",United States,Lourenco Goncalves,1847,"25,500","22,350","3,750","19,770","15,180",cleveland-cliffs
651,651,Grupo ACS,Construction,Madrid,Spain,Florentino Pérez Rodríguez,1997,"122,502","32,900","3,600","41,060","7,030",grupo-acs
652,652,CGN Power,Utilities,Shenzhen,China,Li Gang Gao,2014,"18,248","12,470","1,590","63,560","13,580",cgn-power
